ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
210000893,"03/29/2021, 1:44:00 am","03/30/2021, 1:06:17 am",PALO ALTO,CA,94301,500 Block HIGH ST,RMS: ASSAULT WITH DEADLY WEAPON,Assault,ASSAULT WITH DEADLY WEAPON</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-28 18:44:00
210000867,"03/26/2021, 1:00:00 am","03/30/2021, 1:06:08 am",PALO ALTO,CA,94303,1900 Block GENG RD,RMS: BURGLARY/COMMERCIAL,Breaking & Entering,BURGLARY/COMMERCIAL</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-26 10:33:00
210000868,"01/25/2021, 7:00:00 am","03/30/2021, 1:06:08 am",PALO ALTO,CA,94303,1600 Block EDGEWOOD DR,RMS: CHECKS/FORGERY,Property Crime,CHECKS/FORGERY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-26 13:16:00
210000870,"03/27/2021, 12:20:00 am","03/30/2021, 1:06:09 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-26 17:20:00
210000871,"03/27/2021, 4:58:00 am","03/30/2021, 1:06:10 am",PALO ALTO,CA,94301,400 Block WAVERLEY ST,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-26 21:58:00
210000873,"03/27/2021, 11:00:00 pm","03/30/2021, 1:06:11 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: THEFT GRAND/SHOPLIFT,Theft,THEFT GRAND/SHOPLIFT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 16:05:00
210000874,"03/27/2021, 11:24:00 pm","03/30/2021, 1:06:12 am",PALO ALTO,CA,94303,3700 Block MIDDLEFIELD RD,RMS: PUBLIC INCIDENT/MISC,Emergency,PUBLIC INCIDENT/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 16:24:00
210000875,"03/27/2021, 11:41:00 pm","03/30/2021, 1:06:12 am",PALO ALTO,CA,94301,1100 Block UNIVERSITY AV,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 16:41:00
210000878,"03/28/2021, 2:10:00 am","03/30/2021, 1:06:13 am",PALO ALTO,CA,94303,2400 Block W BAYSHORE RD,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 19:10:00
210000798,"03/20/2021, 7:35:00 am","03/30/2021, 1:05:32 am",PALO ALTO,CA,94306,EL CAMINO REAL & CALIFORNIA AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-20 00:35:00
210000861,"03/25/2021, 9:45:00 pm","03/30/2021, 1:06:03 am",PALO ALTO,CA,94303,SAN ANTONIO RD & MIDDLEFIELD RD,RMS: ACCIDENT MINOR INJURY,Traffic,ACCIDENT MINOR INJURY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-25 14:45:00
210000864,"03/26/2021, 9:58:00 am","03/30/2021, 1:06:06 am",PALO ALTO,CA,94306,EL CAMINO REAL & EL CAMINO WAY,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-26 02:58:00
210000865,"03/26/2021, 5:24:00 pm","03/30/2021, 1:06:06 am",PALO ALTO,CA,94306,700 Block PAUL AV,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-26 10:24:00
210000866,"02/26/2021, 7:00:00 pm","03/30/2021, 1:06:07 am",PALO ALTO,CA,94301,300 Block WAVERLEY ST,RMS: VEHICLE/STORED,Traffic,VEHICLE/STORED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-26 12:00:00
210000787,"03/19/2021, 7:55:00 pm","03/30/2021, 1:05:31 am",PALO ALTO,CA,94301,WAVERLEY ST & CHANNING AV,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-19 12:55:00
210000797,"03/20/2021, 7:19:00 am","03/27/2021, 1:11:18 am",PALO ALTO,CA,94306,EL CAMINO REAL & CALIFORNIA AV,RMS: N&D/POSSESSION,Quality of Life,N&D/POSSESSION</br><b>Disposition: </b> ARREST/CITE-ADULT-FSDReport Date: 2021-03-20 00:19:00
210000852,"03/24/2021, 9:38:00 pm","03/27/2021, 1:11:32 am",PALO ALTO,CA,94301,400 Block UNIVERSITY AV,RMS: THEFT GRAND/SHOPLIFT,Theft,THEFT GRAND/SHOPLIFT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 14:38:00
210000857,"03/25/2021, 7:00:00 pm","03/27/2021, 1:11:33 am",PALO ALTO,CA,94303,1100 Block EMBARCADERO RD,RMS: N&D/PARAPHERNALIA,Quality of Life,N&D/PARAPHERNALIA</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-25 12:00:00
210000863,"03/26/2021, 5:37:00 am","03/27/2021, 1:11:34 am",PALO ALTO,CA,94306,3300 Block EMERSON ST,RMS: N&D/PARAPHERNALIA,Quality of Life,N&D/PARAPHERNALIA</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-25 22:37:00
210000812,"03/21/2021, 9:45:00 am","03/27/2021, 1:11:21 am",PALO ALTO,CA,94301,400 Block WAVERLEY ST,RMS: VANDALISM/MISDEMEANOR,Property Crime,VANDALISM/MISDEMEANOR</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-21 02:45:00
210000856,"03/25/2021, 4:30:00 am","03/27/2021, 1:11:32 am",PALO ALTO,CA,94306,2100 Block STAUNTON CT,RMS: THEFT GRAND/BIKE/BIKE PARTS,Theft,THEFT GRAND/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-25 07:00:00
210000858,"03/25/2021, 6:55:00 pm","03/27/2021, 1:11:33 am",PALO ALTO,CA,94301,500 Block OREGON AV,RMS: VEHICLE/RECOVERED,Vehicle Recovery,VEHICLE/RECOVERED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-25 11:55:00
210000860,"03/25/2021, 9:53:00 pm","03/27/2021, 1:11:33 am",PALO ALTO,CA,94301,1100 Block BLOCK ALMA ST,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-25 14:53:00
210000862,"03/25/2021, 11:30:00 pm","03/27/2021, 1:11:33 am",PALO ALTO,CA,94301,400 Block BRYANT ST,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-25 16:30:00
210000662,"03/08/2021, 10:22:00 am","03/26/2021, 1:35:40 am",PALO ALTO,CA,94306,PAGE MILL RD & EL CAMINO REAL,RMS: VEHICLE/RECOVERED,Vehicle Recovery,VEHICLE/RECOVERED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 03:22:00
210000824,"03/22/2021, 5:30:00 am","03/26/2021, 1:36:17 am",PALO ALTO,CA,94303,600 Block KEATS CT,RMS: CREDIT CARDS/FRAUDULENT USE,Property Crime,CREDIT CARDS/FRAUDULENT USE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-22 10:56:00
210000836,"03/23/2021, 4:45:00 pm","03/26/2021, 1:36:19 am",PALO ALTO,CA,94022,4200 Block EL CAMINO REAL,RMS: UNATTENDED DEATH/MISC,Other,UNATTENDED DEATH/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 10:42:00
210000843,"03/17/2021, 3:00:00 pm","03/26/2021, 1:36:21 am",PALO ALTO,CA,94303,3900 Block LOUIS RD,RMS: IDENTITY THEFT/FRAUD,Proactive Policing,IDENTITY THEFT/FRAUD</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 14:50:00
210000847,"03/24/2021, 4:00:00 pm","03/26/2021, 1:36:21 am",PALO ALTO,CA,94306,2300 Block PARK BLVD,RMS: VEHICLE/RECOVERED,Vehicle Recovery,VEHICLE/RECOVERED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 09:00:00
210000848,"03/24/2021, 4:30:00 pm","03/26/2021, 1:36:21 am",PALO ALTO,CA,94306,4000 Block EL CAMINO WAY,RMS: DOMESTIC VIOLENCE/BATTERY,Other,DOMESTIC VIOLENCE/BATTERY</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-24 09:40:00
210000849,"03/24/2021, 3:56:00 pm","03/26/2021, 1:36:22 am",PALO ALTO,CA,94303,100 Block LOIS LN,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 10:16:00
210000850,"03/15/2021, 3:00:00 pm","03/26/2021, 1:36:22 am",PALO ALTO,CA,94301,500 Block HAMILTON AV,RMS: THEFT GRAND/MISC,Theft,THEFT GRAND/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 11:30:00
210000851,"03/22/2021, 4:00:00 pm","03/26/2021, 1:36:22 am",PALO ALTO,CA,94301,500 Block EVERETT AV,RMS: THEFT PETTY/MISC,Theft,THEFT PETTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 13:30:00
210000854,"03/25/2021, 3:45:00 am","03/26/2021, 1:36:22 am",PALO ALTO,CA,94303,3100 Block FALLEN LEAF ST,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 20:48:00
210000855,"03/25/2021, 7:50:00 am","03/26/2021, 1:36:22 am",PALO ALTO,CA,94306,3400 Block EL CAMINO REAL,RMS: N&D/UNDER INFLUENCE,Quality of Life,N&D/UNDER INFLUENCE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-25 00:59:00
218000206,"03/23/2021, 4:20:00 am","03/25/2021, 10:00:37 am",PALO ALTO,CA,94306,200 Block COLLEGE AV,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 11:30:00
218000208,"03/23/2021, 10:00:00 pm","03/25/2021, 10:00:38 am",PALO ALTO,CA,94301,1200 Block HOPKINS AV,RMS: VANDALISM/MISDEMEANOR,Property Crime,VANDALISM/MISDEMEANOR</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 17:18:00
218000209,"03/23/2021, 6:00:00 pm","03/25/2021, 10:00:38 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: THEFT GRAND/BIKE/BIKE PARTS,Theft,THEFT GRAND/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 09:24:00
218000205,"03/22/2021, 4:05:00 pm","03/25/2021, 8:36:08 am",PALO ALTO,CA,94306,200 Block MARGARITA AV,RMS: THEFT PETTY/FROM AUTO,Theft from Vehicle,THEFT PETTY/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-22 09:26:00
218000200,"03/20/2021, 12:10:00 pm","03/25/2021, 8:36:06 am",PALO ALTO,CA,94306,SUZANNE DR & ARASTRADERO RD,RMS: THEFT PETTY/FROM AUTO,Theft from Vehicle,THEFT PETTY/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-20 11:30:00
218000201,"03/17/2021, 8:00:00 pm","03/25/2021, 8:36:06 am",PALO ALTO,CA,94304,1300 Block OAK CREEK DR,RMS: THEFT GRAND/BIKE/BIKE PARTS,Theft,THEFT GRAND/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-21 19:44:00
218000202,"03/21/2021, 1:15:00 am","03/25/2021, 8:36:07 am",PALO ALTO,CA,94304,CLARK WAY & SAND HILL RD,RMS: THEFT GRAND/FROM AUTO,Theft from Vehicle,THEFT GRAND/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-20 21:45:00
218000203,"03/19/2021, 11:45:00 pm","03/25/2021, 8:36:07 am",PALO ALTO,CA,94306,2300 Block AMHERST ST,RMS: THEFT PETTY/FROM AUTO,Theft from Vehicle,THEFT PETTY/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-20 15:54:00
218000204,"03/19/2021, 5:35:00 pm","03/25/2021, 8:36:08 am",PALO ALTO,CA,94306,600 Block E MEADOW DR,RMS: THEFT GRAND/MISC,Theft,THEFT GRAND/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-19 10:52:00
218000197,"03/14/2021, 12:54:00 am","03/25/2021, 8:36:05 am",PALO ALTO,CA,94303,800 Block FIELDING DR,RMS: MISDEMEANOR/HIT & RUN,Traffic,MISDEMEANOR/HIT & RUN</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-17 20:56:00
218000198,"03/04/2021, 11:00:00 pm","03/25/2021, 8:36:05 am",PALO ALTO,CA,94303,CORPORATION WAY & E BAYSHORE RD,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-19 11:27:00
218000199,"03/19/2021, 5:00:00 pm","03/25/2021, 8:36:05 am",PALO ALTO,CA,94301,HALE ST & UNIVERSITY AV,RMS: VANDALISM/MISDEMEANOR,Property Crime,VANDALISM/MISDEMEANOR</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-19 14:59:00
218000210,"03/18/2021, 3:00:00 pm","03/25/2021, 8:36:11 am",PALO ALTO,CA,94304,700 Block WELCH RD,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-18 20:58:00
210000828,"03/22/2021, 11:47:00 am","03/25/2021, 1:14:36 am",PALO ALTO,CA,94301,300 Block RAMONA ST,RMS: BURGLARY/AUTO,Theft from Vehicle,BURGLARY/AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-22 14:39:00
210000833,"03/23/2021, 2:05:00 am","03/25/2021, 1:14:37 am",PALO ALTO,CA,94306,2600 Block MIDDLEFIELD RD,RMS: ROBBERY/ARMED,Robbery,ROBBERY/ARMED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-22 19:40:00
210000835,"03/22/2021, 8:30:00 pm","03/25/2021, 1:14:38 am",PALO ALTO,CA,94301,500 Block LYTTON AV,RMS: MISSING ADULT/MISC,Other,MISSING ADULT/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 11:20:00
210000838,"03/18/2021, 7:00:00 pm","03/25/2021, 1:14:38 am",PALO ALTO,CA,94306,400 Block E MEADOW DR,RMS: SEX CRIME/MISC,Sexual Offense,SEX CRIME/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 12:04:00
210000827,"03/22/2021, 9:07:00 pm","03/25/2021, 1:14:35 am",PALO ALTO,CA,.,OREGON EXPY,RMS: ACCIDENT MINOR INJURY,Traffic,ACCIDENT MINOR INJURY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-22 14:07:00
210000839,"03/23/2021, 9:02:00 pm","03/25/2021, 1:14:39 am",PALO ALTO,CA,94305,200 Block QUARRY RD,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 14:02:00
210000840,"03/23/2021, 9:30:00 pm","03/25/2021, 1:14:39 am",PALO ALTO,CA,94306,2100 Block PRINCETON ST,RMS: VEHICLE/STORED,Traffic,VEHICLE/STORED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 19:00:00
210000841,"03/23/2021, 10:30:00 pm","03/25/2021, 1:14:39 am",PALO ALTO,CA,94304,MIRANDA AV & HILLVIEW AV,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 15:30:00
210000842,"03/23/2021, 10:09:00 pm","03/25/2021, 1:14:40 am",PALO ALTO,CA,94301,800 Block EL CAMINO REAL,RMS: ROBBERY/STRONG ARM,Robbery,ROBBERY/STRONG ARM</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 15:11:00
210000845,"03/24/2021, 6:00:00 am","03/25/2021, 1:14:40 am",PALO ALTO,CA,94301,2500 Block EMERSON ST,RMS: SICK & CARED FOR/MISC,Emergency,SICK & CARED FOR/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 23:15:00
210000846,"03/24/2021, 12:00:00 pm","03/25/2021, 1:14:41 am",PALO ALTO,CA,94301,400 Block BRYANT ST,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-24 05:00:00
210000832,"03/23/2021, 12:45:00 am","03/25/2021, 1:14:37 am",PALO ALTO,CA,94304,ARBORETUM RD & ORCHARD LN,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-22 17:45:00
210000753,"02/08/2021, 3:00:00 pm","03/24/2021, 1:36:10 am",PALO ALTO,CA,94301,1400 Block PITMAN AV,RMS: CHECKS/FORGERY,Property Crime,CHECKS/FORGERY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-16 13:24:00
210000754,"03/16/2021, 10:49:00 am","03/24/2021, 1:36:10 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: N&D/PARAPHERNALIA,Quality of Life,N&D/PARAPHERNALIA</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-16 03:49:00
