PK,CCR,HIERARCHY,INCIDENTTIME,incident_year,incident_month,incident_day_of_week,incident_time_12hr,incident_hour,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
249081613,21058320,6,2021-03-31T01:45:00Z,2021,March,Wednesday,01:45 AM,01 AM,"1400 Block Creedmoor Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1918,4,5,-80.0126575325243,40.3892149570553
249081723,21058313,18,2021-04-06T17:43:00Z,2021,April,Tuesday,05:43 PM,05 PM,"2500 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6110.1 Possesion of Firearm by Minor",509,6,3,-79.9728325359297,40.4504453708583
249085585,21057679,6,2021-04-05T19:20:00Z,2021,April,Monday,07:20 PM,07 PM,"200 Block Schenley Dr Pittsburgh, PA 15213",N,North Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",404,8,3,-79.9370104615363,40.4397910716192
249091536,21058444,99,2021-04-06T21:25:00Z,2021,April,Tuesday,09:25 PM,09 PM,"Beechwood Blvd & Monitor St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1414,5,3,-79.9266961476648,40.4255571433469
249099084,21058572,0,2021-04-07T01:37:00Z,2021,April,Wednesday,01:37 AM,01 AM,"100 Block 6th St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident):,201,6,6,-80.0027419046433,40.4440473749963
-3390013823,21058631,0,2021-04-07T05:15:00Z,2021,April,Wednesday,05:15 AM,05 AM,"Melwood Ave & Finland St Pittsburgh, PA 15213",N,Polish Hill,2,99,9999 9999 - (Misc. Incident):,605,7,6,-79.9613743423972,40.4590906810205
249106416,21058070,99,2021-04-06T09:00:00Z,2021,April,Tuesday,09:00 AM,09 AM,"200 Block S Mathilda St Pittsburgh, PA 15224",N,Bloomfield,5,GAMBLING INVESTIGATION,9130 Graffiti Investigation,809,7,2,-79.9467948798275,40.4650322426879
247751424,21046816,0,2021-03-20T08:30:00Z,2021,March,Saturday,08:30 AM,08 AM,"200 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,99,9999 9999 - (Misc. Incident):,2609,1,1,-80.0145250619962,40.4937846554964
247753861,21046892,6,2021-03-19T23:00:00Z,2021,March,Friday,11:00 PM,11 PM,"600 Block W North Ave Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2206,1,1,-80.0128335552463,40.4545671919178
247873256,21047885,10,2021-03-21T15:00:00Z,2021,March,Sunday,03:00 PM,03 PM,"Penn Ave & S Braddock Ave Pittsburgh, PA 15221",N,Point Breeze,4,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1406,9,3,-79.8951649869709,40.4471406664877
247877065,21047893,99,2021-03-22T00:06:00Z,2021,March,Monday,12:06 AM,12 AM,"1100 Block Woodbine St Pittsburgh, PA 15201",N,Stanton Heights,5,ACCIDENTAL FIRE,9018 Accidental Fire,1005,9,2,-79.9411605523436,40.4781237295005
247882653,21047903,0,2021-03-22T00:55:00Z,2021,March,Monday,12:55 AM,12 AM,"1000 Block Goehring St Pittsburgh, PA 15212",N,East Allegheny,1,99,9998 Overdose Other,2304,1,1,-79.9949099085783,40.4601302161527
247888083,21047947,24,2021-03-22T04:30:00Z,2021,March,Monday,04:30 AM,04 AM,"600 Block River Ave Pittsburgh, PA 15212",Y,North Shore,1,DISORDERLY CONDUCT,5503 Disorderly Conduct.,2205,1,1,-79.9975198957262,40.4493002664838
249434158,21061953,14,2021-04-11T17:06:00Z,2021,April,Sunday,05:06 PM,05 PM,"5500 Block Hays St Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1113,9,2,-79.9295980729089,40.4704487820794
249440702,21061979,18,2021-04-11T17:42:00Z,2021,April,Sunday,05:42 PM,05 PM,"Kelly St & La Schall St Pittsburgh, PA 15208",Y,Homewood West,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,1207,9,2,-79.9063275934352,40.4576594400916
249451516,21062256,10,2021-04-12T04:32:00Z,2021,April,Monday,04:32 AM,04 AM,"7300 Block Hamilton Ave Pittsburgh, PA 15208",Y,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1303,9,2,-79.8956475808347,40.4540244912611
-3266000034,21062421,0,2021-04-12T10:50:00Z,2021,April,Monday,10:50 AM,10 AM,"1000 Block Silverdale St Pittsburgh, PA 15221",N,Homewood North,5,99,9999 9999 - (Misc. Incident):,1301,9,2,-79.8807695121168,40.4559393895543
247966219,21048260,0,2021-03-22T15:00:00Z,2021,March,Monday,03:00 PM,03 PM,"1300 Block Brighton Rd Pittsburgh, PA 15233",N,Central North Side,1,99,9999 9999 - (Misc. Incident): PFA Service with Relinquishment of Firearms Receipt,2206,1,1,-80.0151121841692,40.456135130495
248250140,21050401,5,2021-03-24T11:55:00Z,2021,March,Wednesday,11:55 AM,11 AM,"4700 Block Maripoe St Pittsburgh, PA 15213",Y,Bloomfield,5,BURGLARY,3502 Burglary.,804,7,2,-79.9501385085317,40.4553090579445
249099127,21058586,0,2021-04-07T02:38:00Z,2021,April,Wednesday,02:38 AM,02 AM,"2200 Block Somers Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident):,509,6,3,-79.9755889365866,40.4494256477235
249135262,21058728,14,2021-04-07T06:00:00Z,2021,April,Wednesday,06:00 AM,06 AM,"7100 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,CRIM MISCHIEF,3304 Criminal Mischief.,1302,9,2,-79.8974193659496,40.4618616016294
249177525,21059232,11,2021-04-07T22:50:00Z,2021,April,Wednesday,10:50 PM,10 PM,"100 Block N Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,CREDIT CARDS,4120 Identity Theft / 4106 Access Device Fraud,404,,,-79.8783824278341,40.4433210032603
249179576,21059278,0,2021-04-08T00:43:00Z,2021,April,Thursday,12:43 AM,12 AM,"6400 Block Station St Pittsburgh, PA 15206",N,East Liberty,5,99,9998 Overdose Other,1115,9,2,-79.9187492267927,40.4610531897644
249181574,21059262,1,2021-04-08T00:10:00Z,2021,April,Thursday,12:10 AM,12 AM,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,CRIMINAL HOMICIDE,2501 Criminal Homicide.,2609,1,1,-79.9994763962932,40.4757519574098
247726466,21046388,0,2021-03-19T16:01:00Z,2021,March,Friday,04:01 PM,04 PM,"Sebring Ave & Rockland Ave Pittsburgh, PA 15216",Y,Beechview,6,99,627.02(b)(i) Possessing a small amount of marijuana / 3334 Turning Movements and Required Signals.,1916,4,5,-80.0202062976797,40.4131369938188
247758969,21047032,6,2021-03-20T14:13:00Z,2021,March,Saturday,02:13 PM,02 PM,"3700 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,405,3,3,-79.9573716381502,40.4410322191131
247765196,21047094,11,2021-03-20T17:30:00Z,2021,March,Saturday,05:30 PM,05 PM,"300 Block Bailey Ave Pittsburgh, PA 15211",N,Mount Washington,3,IDENTITY THEFT,4120 Identity Theft,1807,3,5,-80.0024521950324,40.4267667487133
247775560,21047162,0,2021-03-20T18:30:00Z,2021,March,Saturday,06:30 PM,06 PM,"5400 Block Pocussett St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident):,1413,5,3,-79.9330384652248,40.4302909642885
247783354,21047205,27,2021-03-20T19:56:00Z,2021,March,Saturday,07:56 PM,07 PM,"Arlington Ave & P J Mc Ardle Rdwy Pittsburgh, PA 15203",N,South Side Slopes,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1706,3,3,-79.9983323112472,40.4290282335176
247800227,21047355,0,2021-03-21T01:58:00Z,2021,March,Sunday,01:58 AM,01 AM,"2900 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,99,9999 9999 - (Misc. Incident):,2615,6,1,-80.0111836603721,40.4705076955718
249277498,21059950,14,2021-04-08T21:07:00Z,2021,April,Thursday,09:07 PM,09 PM,"2300 Block East Hills Dr Pittsburgh, PA 15221",N,East Hills,5,CRIM MISCHIEF,3304 Criminal Mischief.,1306,9,2,-79.871328586779,40.4566162367709
249286176,21060016,11,2021-04-08T22:06:00Z,2021,April,Thursday,10:06 PM,10 PM,"1900 Block Lithgow Ave Pittsburgh, PA 15214",N,Perry South,1,CREDIT CARDS,4106 Access Device Fraud,2614,6,1,-80.0098475955756,40.4619666526649
249288032,21060118,3,2021-04-09T01:10:00Z,2021,April,Friday,01:10 AM,01 AM,"7200 Block Monticello St Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace,1302,9,2,-79.8954441309818,40.4595129711501
249290725,21060134,27,2021-04-09T04:01:00Z,2021,April,Friday,04:01 AM,04 AM,"1300 Block Woodbine St Pittsburgh, PA 15201",Y,Stanton Heights,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3736 Reckless Driving,1018,7,2,-79.9389612852586,40.48167870526
249344325,21059185,10,2021-04-07T21:37:00Z,2021,April,Wednesday,09:37 PM,09 PM,"600 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,201,6,6,-80.0017928321911,40.4425929172081
247780110,21047044,27,2021-03-20T16:37:00Z,2021,March,Saturday,04:37 PM,04 PM,"S 21st St & Jane St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3746 Immediate Notice of Accident to Police Department / 3736 Reckless Driving,1609,3,3,-79.9764327299697,40.4267140920075
247833234,21045012,99,2021-03-17T16:00:00Z,2021,March,Wednesday,04:00 PM,04 PM,"200 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3001,,,-80.0796818950621,40.317953554769304
247857051,21047648,27,2021-03-21T15:39:00Z,2021,March,Sunday,03:39 PM,03 PM,"20th St & Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9839623718427,40.451114125163
247857442,21047647,27,2021-03-21T16:30:00Z,2021,March,Sunday,04:30 PM,04 PM,"3000 Block Smallman St Pittsburgh, PA 15201",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9732861883749,40.4594972946257
247972397,21048350,6,2021-03-22T18:00:00Z,2021,March,Monday,06:00 PM,06 PM,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.9220514004315,40.4616553224018
247974745,21048346,99,2021-03-22T18:34:00Z,2021,March,Monday,06:34 PM,06 PM,"600 Block N St Clair St Pittsburgh, PA 15206",N,East Liberty,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1113,9,2,-79.9251036514677,40.4680459929309
247976066,21048432,0,2021-03-22T20:41:00Z,2021,March,Monday,08:41 PM,08 PM,"Nolan Ct & Mohler St Pittsburgh, PA 15221",N,Homewood North,5,99,8106 Shots Fired,1301,9,2,-79.8868928487073,40.4594147499063
247988714,21048542,99,2021-03-23T00:59:00Z,2021,March,Tuesday,12:59 AM,12 AM,"20 Block Mt Oliver St Pittsburgh, PA 15210",N,South Side Slopes,3,LOST PROPERTY,9504 Lost Property,1706,3,3,-79.9871462954646,40.421046807292
249108851,21058650,6,2021-04-07T06:30:00Z,2021,April,Wednesday,06:30 AM,06 AM,"50 Block Pasadena St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1807,3,5,-80.0020959156907,40.4240695399104
249110739,21058664,6,2021-04-07T07:00:00Z,2021,April,Wednesday,07:00 AM,07 AM,"4400 Block Milgate St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT FROM AUTO,3934 Theft from Vehicle,903,7,2,-79.95218898399,40.4653809546718
249115015,21058694,11,2021-04-06T12:00:00Z,2021,April,Tuesday,12:00 PM,12 PM,"1200 Block Stock St Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.9159119371889,40.3663249752904
249122088,21058738,11,2021-04-05T12:00:00Z,2021,April,Monday,12:00 PM,12 PM,"100 Block Santron Ave Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2904,4,3,-79.9875927301452,40.3904473286065
249146208,21058790,15,2021-04-07T11:38:00Z,2021,April,Wednesday,11:38 AM,11 AM,"Grant St & Blvd Of The Allies Pittsburgh, PA 15219",Y,Central Business District,2,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 9501 Bench Warrant / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",201,6,6,-79.9983661522927,40.4370717537066
249160226,21059013,26,2021-04-07T17:09:00Z,2021,April,Wednesday,05:09 PM,05 PM,"900 Block Grand Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2715,1,1,-80.0239619326626,40.4757614666029
249165404,21059000,0,2021-04-07T17:05:00Z,2021,April,Wednesday,05:05 PM,05 PM,"8600 Block Bricelyn St Pittsburgh, PA 15221",Y,East Hills,5,99,9093 Indirect Criminal Contempt,1306,9,2,-79.8743592274177,40.4578647734886
248343899,21051479,6,2021-03-27T09:30:00Z,2021,March,Saturday,09:30 AM,09 AM,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-80.0016135598372,40.4388661313797
248258201,21050541,99,2021-03-25T23:44:00Z,2021,March,Thursday,11:44 PM,11 PM,"100 Block Station Square Dr E Pittsburgh, PA 15219",N,South Shore,3,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic / 9999 9999 - (Misc. Incident):,1921,2,5,-80.0036478024497,40.4333960846227
248264114,21050574,99,2021-03-26T03:00:00Z,2021,March,Friday,03:00 AM,03 AM,"900 Block Bidwell St Pittsburgh, PA 15233",N,Manchester,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2107,6,1,-80.0200727137647,40.4513356623083
248644433,21054359,24,2021-03-31T16:15:00Z,2021,March,Wednesday,04:15 PM,04 PM,"700 Block Excelsior St Pittsburgh, PA 15210",Y,Allentown,3,DISORDERLY CONDUCT,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,1803,3,5,-79.995806324577,40.422758263654
248654086,21054515,18,2021-03-31T20:27:00Z,2021,March,Wednesday,08:27 PM,08 PM,"2900 Block Stayton St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3503 Criminal Trespass,2715,1,1,-80.0274849065856,40.4713604734435
248662593,21054657,10,2021-04-01T02:55:00Z,2021,April,Thursday,02:55 AM,02 AM,"2500 Block Perrysville Ave Pittsburgh, PA 15214",Y,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2614,6,1,-80.0083779955505,40.4695828259933
248802896,21055551,14,2021-04-02T12:00:00Z,2021,April,Friday,12:00 PM,12 PM,"400 Block Arlington Ave Pittsburgh, PA 15203",N,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief. / 901 Criminal Attempt,1803,3,5,-79.9967698295014,40.4281779764437
249483696,21062419,99,2021-04-12T10:48:00Z,2021,April,Monday,10:48 AM,10 AM,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,FOUND PROPERTY,9489 Found Property,305,6,3,-79.9799824053927,40.4435889103074
247722945,21046330,13,2021-03-19T15:00:00Z,2021,March,Friday,03:00 PM,03 PM,"S Highland Ave & Spirit St Pittsburgh, PA 15206",Y,Homewood North,5,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 9501 Bench Warrant / 6106.1 Carrying Loaded Weapons Other Than Firearms / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1302,8,2,-79.925089513974,40.4592540681059
247757813,21046996,0,2021-03-20T15:17:00Z,2021,March,Saturday,03:17 PM,03 PM,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,9998 Overdose Other,2022,2,5,-80.0611043000205,40.4538722967083
247801505,21047356,99,2021-03-21T02:28:00Z,2021,March,Sunday,02:28 AM,02 AM,"200 Block S Fairmount St Pittsburgh, PA 15206",N,Friendship,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,807,7,2,-79.9338068865,40.4623353530439
247984950,21047976,10,2021-03-22T06:30:00Z,2021,March,Monday,06:30 AM,06 AM,"1800 Block MURRAY Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,SIMPLE ASSAULT,2701 Simple Assault.,1413,5,3,-79.9231790535923,40.4367183093438
247972935,21048226,14,2021-03-22T15:55:00Z,2021,March,Monday,03:55 PM,03 PM,"1500 Block Rockland Ave Pittsburgh, PA 15216",Y,Beechview,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1916,4,5,-80.0203678148169,40.4120381923726
247974347,21048383,6,2021-03-22T16:30:00Z,2021,March,Monday,04:30 PM,04 PM,"200 Block Jasper St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,1915,2,5,-80.0104094131277,40.4214454621328
248056614,21048991,0,2021-03-23T19:00:00Z,2021,March,Tuesday,07:00 PM,07 PM,"3700 Block Baytree St Pittsburgh, PA 15214",N,Perry North,1,99,9999 9999 - (Misc. Incident):,2602,1,1,-80.0141204114371,40.4887927219588
248058912,21048847,4,2021-03-23T15:20:00Z,2021,March,Tuesday,03:20 PM,03 PM,"900 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2701 Simple Assault. / 2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children. / 6110.2 Possesion of Firearm with Altered Mfg. Number,1918,4,5,-80.0191898061447,40.3928794375987
248060966,21048900,99,2021-03-23T16:45:00Z,2021,March,Tuesday,04:45 PM,04 PM,"500 Block Springfield St Pittsburgh, PA 15220",N,Ridgemont,6,AIDED CASE,9497 Aided Case,2016,2,5,-80.0366669456014,40.4317822187064
249255244,21059664,0,2021-04-08T15:00:00Z,2021,April,Thursday,03:00 PM,03 PM,"3100 Block Pioneer Ave Pittsburgh, PA 15226",Y,Brookline,6,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,1919,4,5,-80.0306197674581,40.3956157507128
249259896,21057517,6,2021-04-05T16:34:00Z,2021,April,Monday,04:34 PM,04 PM,"200 Block Radcliffe St Pittsburgh, PA 15204",N,Esplen,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2017,2,5,-80.0554393000933,40.4628266346199
249264962,21059760,26,2021-04-08T16:56:00Z,2021,April,Thursday,04:56 PM,04 PM,"20 Block Briggs St Pittsburgh, PA 15234",N,Overbrook,3,CRIMINAL TRESPASS,3503 Criminal Trespass,3207,4,5,-80.0017833710712,40.3882610609064
249271176,21059861,99,2021-04-08T00:04:00Z,2021,April,Thursday,12:04 AM,12 AM,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2609,1,1,-80.0016475315907,40.4771220938326
248065686,21049037,18,2021-03-23T20:41:00Z,2021,March,Tuesday,08:41 PM,08 PM,"Wick St & Diaz Way Pittsburgh, PA 15219",Y,Crawford-Roberts,2,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount,305,6,3,-79.9797552143546,40.4394011692196
248066309,21045106,0,2021-03-17T15:18:00Z,2021,March,Wednesday,03:18 PM,03 PM,"Wick St & Diaz Way Pittsburgh, PA 15219",Y,Crawford-Roberts,2,99,3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving,305,6,3,-79.9797552143546,40.4394011692196
248305059,21050921,99,2021-03-26T14:09:00Z,2021,March,Friday,02:09 PM,02 PM,"100 Block Shelby St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2715,2,5,-80.0375314589218,40.4082764791697
249366432,21060786,0,2021-04-09T23:44:00Z,2021,April,Friday,11:44 PM,11 PM,"400 Block Bailey Ave Pittsburgh, PA 15211",Y,Mount Washington,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,1807,3,5,-79.9998207026968,40.4266947312432
249367141,21060851,10,2021-04-10T01:10:00Z,2021,April,Saturday,01:10 AM,01 AM,"10th St & Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.9956124166667,40.4444643659456
249370853,21060957,99,2021-04-10T04:16:00Z,2021,April,Saturday,04:16 AM,04 AM,"300 Block Melwood Ave Pittsburgh, PA 15213",N,North Oakland,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),507,6,3,-79.9507528971167,40.4524545869485
249381353,21061046,0,2021-04-10T09:57:00Z,2021,April,Saturday,09:57 AM,09 AM,"3300 Block Allendorf St Pittsburgh, PA 15204",N,Sheraden,6,99,9998 Overdose Other,2022,2,5,-80.0651901634928,40.4549566110171
249390661,21060883,23,2021-04-10T01:53:00Z,2021,April,Saturday,01:53 AM,01 AM,"100 Block 6th St Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503(b.1) Criminal Trespass - Simple Trespasser / 601.16 Public Urination And Defecation,201,6,6,-80.0027419046433,40.4440473749963
249401664,21061407,27,2021-04-10T20:00:00Z,2021,April,Saturday,08:00 PM,08 PM,"1500 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,103,6,3,-79.9850250905646,40.438539598023
249405311,21061435,4,2021-04-10T20:41:00Z,2021,April,Saturday,08:41 PM,08 PM,"1700 Block Plateau St Pittsburgh, PA 15210",N,Carrick,3,AGG-ASSAULT,2702 Aggravated Assault. / 3502 Burglary. / 903 Criminal Conspiracy.,2901,4,3,-79.9911213319494,40.3974937802049
-3414035552,21048487,99,2021-03-22T22:36:00Z,2021,March,Monday,10:36 PM,10 PM,"6500 Block Deary St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1203,9,2,-79.9059867378875,40.4669114713731
248064221,21049087,27,2021-03-23T21:37:00Z,2021,March,Tuesday,09:37 PM,09 PM,"Brighton Rd & Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2615,6,1,-80.0250163937269,40.4668950980366
248176488,21049806,0,2021-03-25T00:10:00Z,2021,March,Thursday,12:10 AM,12 AM,"5400 Block Fredanna St Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident): Child Removal Order,3102,5,3,-79.9086852234599,40.3688982350352
248316858,21051181,18,2021-03-26T21:13:00Z,2021,March,Friday,09:13 PM,09 PM,"100 Block Glen Caladh St Pittsburgh, PA 15207",Y,Hazelwood,4,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 5503 Disorderly Conduct.,1515,,,-79.9070515422022,40.4038336224549
248359469,21050401,5,2021-03-24T11:55:00Z,2021,March,Wednesday,11:55 AM,11 AM,"4700 Block Maripoe St Pittsburgh, PA 15213",Y,Bloomfield,5,BURGLARY,3502 Burglary.,804,7,2,-79.9501385085317,40.4553090579445
249176032,21059185,10,2021-04-07T21:37:00Z,2021,April,Wednesday,09:37 PM,09 PM,"600 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,201,6,6,-80.0017928321911,40.4425929172081
249180880,21059309,99,2021-04-08T02:27:00Z,2021,April,Thursday,02:27 AM,02 AM,"5th Ave & Moultrie St Pittsburgh, PA 15219",N,Bluff,2,ACCIDENTAL FIRE,9018 Accidental Fire,103,6,3,-79.9744317820708,40.4380340438221
249188579,21059319,4,2021-04-07T05:00:00Z,2021,April,Wednesday,05:00 AM,05 AM,"1800 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,AGG-ASSAULT,2702 Aggravated Assault.,1413,5,3,-79.9231790535923,40.4367183093438
249232331,21054756,10,2021-04-01T02:30:00Z,2021,April,Thursday,02:30 AM,02 AM,"600 Block 1st Ave Pittsburgh, PA 15219",Y,East Liberty,2,TERRORISTIC THREATS,2709(a) Harassment. / 2706 Terroristic Threats.,201,6,6,-79.9960409452176,40.4350395659105
249232571,21059602,6,2021-04-08T13:00:00Z,2021,April,Thursday,01:00 PM,01 PM,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2609,1,1,-80.0016475315907,40.4771220938326
249251323,21059671,0,2021-04-08T12:46:00Z,2021,April,Thursday,12:46 PM,12 PM,"300 Block S Main St Pittsburgh, PA 15220",N,West End,6,99,9993 PFA Service with Weapons Supplement,2019,7,2,-79.9579476679689,40.4673830136992
249254556,21059655,6,2021-04-07T15:50:00Z,2021,April,Wednesday,03:50 PM,03 PM,"200 Block Ophelia St Pittsburgh, PA 15213",N,South Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,409,6,3,-79.9648915809354,40.4355539521049
