Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,incident_time_hour,time_ampm,street_address,city,state,lat,long
IDENTITY THEFT: USE OTHERS ID WITH INTENT DEFRAUD:WITH PRIOR,2102514,13100 BLOCK YORBA AVE,Chino Police,3/23/2021 12:31,3/23/2021,March,Tuesday,12:31,12 PM,PM,13150 YORBA AVE,Chino,CA,34.01488,-117.702354
BURGLARY - FROM MOTOR VEHICLE,2102454,6300 BLOCK PABLO CT,Chino Police,3/21/2021 9:38,3/21/2021,March,Sunday, 9:38,09 AM,AM,6350 PABLO CT,Chino,CA,34.015976,-117.66655
INFLICT INJURY UPON CHILD,2102469,13000 BLOCK 3RD ST,Chino Police,3/21/2021 19:35,3/21/2021,March,Sunday,19:35,07 PM,PM,13050 3RD ST,Chino,CA,34.01638,-117.695595
VANDALISM:DEFACE PROPERTY,2102407,13000 BLOCK 13TH ST,Chino Police,3/19/2021 22:46,3/19/2021,March,Friday,22:46,10 PM,PM,13050 13TH ST,Chino,CA,34.016453,-117.683
GRAND THEFT - MOTOR VEH PARTS,2102775,4600 BLOCK OCEANSIDE DR,Chino Police,3/27/2021 0:00,3/27/2021,March,Saturday, 0:00,12 AM,AM,4650 OCEANSIDE DR,Chino,CA,34.016724,-117.70341
PETTY THEFT - MAIL OR PACKAGE,2102344,6000 BLOCK ROSA CT,Chino Police,3/17/2021 14:50,3/17/2021,March,Wednesday,14:50,02 PM,PM,6050 ROSA CT,Chino,CA,34.017136,-117.673225
BURGLARY,2102891,12900 BLOCK RAMONA AVE,Chino Police,4/2/2021 23:00,4/2/2021,April,Friday,23:00,11 PM,PM,12950 RAMONA AVE,Chino,CA,34.017906,-117.70674
ACQUIRE ACCESS CARD W/OUT CONSENT W/INTENT TO SELL/ETC,2102778,12900 BLOCK 4TH ST,Chino Police,3/31/2021 15:01,3/31/2021,March,Wednesday,15:01,03 PM,PM,12950 4TH ST,Chino,CA,34.018166,-117.694374
BURGLARY,2102832,12900 BLOCK CENTRAL AVE,Chino Police,4/2/2021 6:18,4/2/2021,April,Friday, 6:18,06 AM,AM,12950 CENTRAL AVE,Chino,CA,34.018192,-117.689316
VANDALISM:DEFACE PROPERTY,2102764,12900 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:00,3/30/2021,March,Tuesday,18:00,06 PM,PM,12950 CENTRAL AVE,Chino,CA,34.018192,-117.689316
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,2102446,12900 BLOCK 9TH ST,Chino Police,3/20/2021 23:34,3/20/2021,March,Saturday,23:34,11 PM,PM,12950 9TH ST,Chino,CA,34.018208,-117.68803
PARAPHERNALIA - POSSESS UNLAWFUL,2102359,12900 BLOCK 9TH ST,Chino Police,3/18/2021 12:44,3/18/2021,March,Thursday,12:44,12 PM,PM,12950 9TH ST,Chino,CA,34.018208,-117.68803
POSSESS CONTROLLED SUBSTANCE,2102758,12900 BLOCK BENSON AVE,Chino Police,3/31/2021 1:51,3/31/2021,March,Wednesday, 1:51,01 AM,AM,12950 BENSON AVE,Chino,CA,34.01825,-117.68059
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103168,4700 BLOCK RIVERSIDE DR,Chino Police,4/10/2021 17:55,4/10/2021,April,Saturday,17:55,05 PM,PM,4750 RIVERSIDE DR,Chino,CA,34.01902,-117.70144
GRAND THEFT - MOTOR VEH PARTS,2102452,4700 BLOCK RIVERSIDE DR,Chino Police,3/20/2021 20:00,3/20/2021,March,Saturday,20:00,08 PM,PM,4750 RIVERSIDE DR,Chino,CA,34.01902,-117.70144
TAMPER WITH VEHICLE,2102417,5100 BLOCK RIVERSIDE DR,Chino Police,3/19/2021 0:00,3/19/2021,March,Friday, 0:00,12 AM,AM,5150 RIVERSIDE DR,Chino,CA,34.019047,-117.69339
ROBBERY - FIREARM,2102374,5100 BLOCK RIVERSIDE DR,Chino Police,3/18/2021 19:10,3/18/2021,March,Thursday,19:10,07 PM,PM,5150 RIVERSIDE DR,Chino,CA,34.019047,-117.69339
BURGLARY - COMMERCIAL - NO FORCED ENTRY (NOT SHOPLIFT),2102328,5200 BLOCK RIVERSIDE DR,Chino Police,3/17/2021 7:55,3/17/2021,March,Wednesday, 7:55,07 AM,AM,5250 RIVERSIDE DR,Chino,CA,34.01909,-117.69007
PARAPHERNALIA - POSSESS UNLAWFUL,2102672,5700 BLOCK RIVERSIDE DR,Chino Police,3/28/2021 19:10,3/28/2021,March,Sunday,19:10,07 PM,PM,5750 RIVERSIDE DR,Chino,CA,34.019146,-117.67933
BURGLARY - COMMERCIAL - ATTEMPTED FORCED ENTRY,2102483,5700 BLOCK RIVERSIDE DR,Chino Police,3/22/2021 3:45,3/22/2021,March,Monday, 3:45,03 AM,AM,5750 RIVERSIDE DR,Chino,CA,34.019146,-117.67933
18+ POSSESS MJ FOR SALE,2102361,6000 BLOCK RIVERSIDE DR,Chino Police,3/18/2021 14:20,3/18/2021,March,Thursday,14:20,02 PM,PM,6050 RIVERSIDE DR,Chino,CA,34.01918,-117.67297
BURGLARY - GARAGE - NO FORCED ENTRY,2102476,6300 BLOCK RIVERSIDE DR,Chino Police,3/21/2021 22:24,3/21/2021,March,Sunday,22:24,10 PM,PM,6350 RIVERSIDE DR,Chino,CA,34.01921,-117.666275
OBSTRUCT/RESIST EXECUTIVE OFFICER,2102438,12800 BLOCK 10TH ST,Chino Police,3/20/2021 17:53,3/20/2021,March,Saturday,17:53,05 PM,PM,12850 10TH ST,Chino,CA,34.019676,-117.686806
POSSESS CONTROLLED SUBSTANCE,2102715,12800 BLOCK CENTRAL AVE,Chino Police,3/29/2021 23:20,3/29/2021,March,Monday,23:20,11 PM,PM,12850 CENTRAL AVE,Chino,CA,34.01996,-117.68933
PETTY THEFT - OTHER,2102747,12800 BLOCK MOUNTAIN AVE,Chino Police,3/29/2021 20:30,3/29/2021,March,Monday,20:30,08 PM,PM,12850 MOUNTAIN AVE,Chino,CA,34.02012,-117.66756
BURGLARY,2103297,5000 BLOCK CENTER ST,Chino Police,4/13/2021 20:45,4/13/2021,April,Tuesday,20:45,08 PM,PM,5050 CENTER ST,Chino,CA,34.020237,-117.694756
PETTY THEFT - FROM MOTOR VEHICLES,2102429,5400 BLOCK PARK PL,Chino Police,3/20/2021 6:05,3/20/2021,March,Saturday, 6:05,06 AM,AM,5450 PARK PL,Chino,CA,34.02118,-117.68554
BURGLARY - RESIDENTIAL - ATTEMPTED FORCED ENTRY,2102432,4900 BLOCK LINCOLN AVE,Chino Police,3/20/2021 13:24,3/20/2021,March,Saturday,13:24,01 PM,PM,4950 LINCOLN AVE,Chino,CA,34.02133,-117.69695
POSS FOR SALE DESIGNATED CONTROLLED SUBSTANCE,2102519,12700 BLOCK YORBA AVE,Chino Police,3/23/2021 14:41,3/23/2021,March,Tuesday,14:41,02 PM,PM,12750 YORBA AVE,Chino,CA,34.021717,-117.70243
PETTY THEFT - MOTOR VEH PARTS AND ACCESSORIES,2102491,12700 BLOCK MONTE VISTA AVE,Chino Police,3/21/2021 17:00,3/21/2021,March,Sunday,17:00,05 PM,PM,12750 MONTE VISTA AVE,Chino,CA,34.02225,-117.698074
VANDALISM ($400 OR MORE),2102566,12700 BLOCK 9TH ST,Chino Police,3/24/2021 23:00,3/24/2021,March,Wednesday,23:00,11 PM,PM,12750 9TH ST,Chino,CA,34.0224,-117.68806
DISORDERLY CONDUCT:ALCOHOL,2102648,12600 BLOCK CENTRAL AVE,Chino Police,3/28/2021 0:59,3/28/2021,March,Sunday, 0:59,12 AM,AM,12650 CENTRAL AVE,Chino,CA,34.02342,-117.68938
PARAPHERNALIA - POSSESS UNLAWFUL,2102410,12600 BLOCK CENTRAL AVE,Chino Police,3/20/2021 2:26,3/20/2021,March,Saturday, 2:26,02 AM,AM,12650 CENTRAL AVE,Chino,CA,34.02342,-117.68938
VANDALISM:DEFACE PROPERTY,2102366,4000 BLOCK CARROLL CT,Chino Police,3/18/2021 16:05,3/18/2021,March,Thursday,16:05,04 PM,PM,4050 CARROLL CT,Chino,CA,34.023438,-117.716705
PETTY THEFT - MAIL OR PACKAGE,2102767,6500 BLOCK GRANT CT,Chino Police,3/30/2021 14:00,3/30/2021,March,Tuesday,14:00,02 PM,PM,6550 GRANT CT,Chino,CA,34.02458,-117.66097
BURGLARY - COMMERCIAL - FORCED ENTRY,2102540,12500 BLOCK CENTRAL AVE,Chino Police,3/22/2021 15:00,3/22/2021,March,Monday,15:00,03 PM,PM,12550 CENTRAL AVE,Chino,CA,34.025063,-117.689415
POSSESS NARCOTIC CONTROLLED SUBSTANCE,2102646,RUSSELL AVE/DAVIS ST,Chino Police,3/27/2021 23:22,3/27/2021,March,Saturday,23:22,11 PM,PM,RUSSELL AVE & DAVIS ST,Chino,CA,34.025223,-117.7003
PETTY THEFT - MAIL OR PACKAGE,2102612,12500 BLOCK SHOLANDER AVE,Chino Police,3/26/2021 14:09,3/26/2021,March,Friday,14:09,02 PM,PM,12550 SHOLANDER AVE,Chino,CA,34.025295,-117.71383
APPROPRIATE LOST PROPERTY,2102323,12500 BLOCK MOUNTAIN AVE,Chino Police,3/16/2021 23:58,3/16/2021,March,Tuesday,23:58,11 PM,PM,12550 MOUNTAIN AVE,Chino,CA,34.025627,-117.6676
FALSE IMPRISONMENT,2102965,6300 BLOCK EISENHOWER CT,Chino Police,4/6/2021 8:33,4/6/2021,April,Tuesday, 8:33,08 AM,AM,6350 EISENHOWER CT,Chino,CA,34.025986,-117.666885
POSSESS CONTROLLED SUBSTANCE,2102500,5400 BLOCK WALNUT AVE,Chino Police,3/22/2021 22:43,3/22/2021,March,Monday,22:43,10 PM,PM,5450 WALNUT AVE,Chino,CA,34.02636,-117.68632
GRAND THEFT - FROM MOTOR VEHICLE,2102502,6600 BLOCK WALNUT AVE,Chino Police,3/22/2021 23:41,3/22/2021,March,Monday,23:41,11 PM,PM,6650 WALNUT AVE,Chino,CA,34.026527,-117.660355
TAKE TRUCK/BUS W/O OWNER`S CONSENT/VEHICLE THEFT,2102325,12400 BLOCK BAKER AVE,Chino Police,3/17/2021 3:00,3/17/2021,March,Wednesday, 3:00,03 AM,AM,12450 BAKER AVE,Chino,CA,34.027157,-117.70139
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102631,12400 BLOCK YORBA AVE,Chino Police,3/27/2021 14:33,3/27/2021,March,Saturday,14:33,02 PM,PM,12450 YORBA AVE,Chino,CA,34.02716,-117.70248
ROBBERY - STRONG ARM,2102350,12400 BLOCK CENTRAL AVE,Chino Police,3/17/2021 23:26,3/17/2021,March,Wednesday,23:26,11 PM,PM,12450 CENTRAL AVE,Chino,CA,34.027225,-117.68939
BURGLARY - FROM MOTOR VEHICLE,2102611,6600 BLOCK KING ST,Chino Police,3/26/2021 11:30,3/26/2021,March,Friday,11:30,11 AM,AM,6650 KING ST,Chino,CA,34.027493,-117.65986
GRAND THEFT - MAIL/PACKAGES,2102725,4600 BLOCK TERRY AVE,Chino Police,3/27/2021 12:00,3/27/2021,March,Saturday,12:00,12 PM,PM,4650 TERRY AVE,Chino,CA,34.02809,-117.70364
PARAPHERNALIA - POSSESS UNLAWFUL,2102380,12300 BLOCK MOUNTAIN AVE,Chino Police,3/19/2021 2:07,3/19/2021,March,Friday, 2:07,02 AM,AM,12350 MOUNTAIN AVE,Chino,CA,34.0284,-117.667625
BURGLARY - COMMERCIAL - FORCED ENTRY,2102295,12300 BLOCK MOUNTAIN AVE,Chino Police,3/16/2021 8:59,3/16/2021,March,Tuesday, 8:59,08 AM,AM,12350 MOUNTAIN AVE,Chino,CA,34.0284,-117.667625
GRAND THEFT - MOTOR VEH PARTS,2102420,12300 BLOCK MARSHALL AVE,Chino Police,3/18/2021 0:00,3/18/2021,March,Thursday, 0:00,12 AM,AM,12350 MARSHALL AVE,Chino,CA,34.02872,-117.6916
POSSESS CONTROLLED SUBSTANCE FOR SALE,2102534,12300 BLOCK CENTRAL AVE,Chino Police,3/24/2021 5:59,3/24/2021,March,Wednesday, 5:59,05 AM,AM,12350 CENTRAL AVE,Chino,CA,34.02873,-117.68941
TAKE TRUCK/BUS W/O OWNER`S CONSENT/VEHICLE THEFT,2102423,12300 BLOCK ACACIA AVE,Chino Police,3/20/2021 1:00,3/20/2021,March,Saturday, 1:00,01 AM,AM,12350 ACACIA AVE,Chino,CA,34.02898,-117.66929
PARAPHERNALIA - POSSESS UNLAWFUL,2102710,12200 BLOCK RAMONA AVE,Chino Police,3/29/2021 19:32,3/29/2021,March,Monday,19:32,07 PM,PM,12250 RAMONA AVE,Chino,CA,34.031418,-117.70686
PARAPHERNALIA - POSSESS UNLAWFUL,2102733,12200 BLOCK MOUNTAIN AVE,Chino Police,3/30/2021 14:07,3/30/2021,March,Tuesday,14:07,02 PM,PM,12250 MOUNTAIN AVE,Chino,CA,34.031487,-117.66767
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103217,12200 BLOCK CENTRAL AVE,Chino Police,4/12/2021 12:54,4/12/2021,April,Monday,12:54,12 PM,PM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102761,12200 BLOCK CENTRAL AVE,Chino Police,3/31/2021 7:28,3/31/2021,March,Wednesday, 7:28,07 AM,AM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102746,12200 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:12,3/30/2021,March,Tuesday,18:12,06 PM,PM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102718,12200 BLOCK CENTRAL AVE,Chino Police,3/30/2021 0:28,3/30/2021,March,Tuesday, 0:28,12 AM,AM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102679,12200 BLOCK CENTRAL AVE,Chino Police,3/28/2021 22:25,3/28/2021,March,Sunday,22:25,10 PM,PM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102623,12200 BLOCK CENTRAL AVE,Chino Police,3/27/2021 0:54,3/27/2021,March,Saturday, 0:54,12 AM,AM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
VANDALISM ($400 OR MORE),2102531,12200 BLOCK CENTRAL AVE,Chino Police,3/24/2021 2:05,3/24/2021,March,Wednesday, 2:05,02 AM,AM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PETTY THEFT - FROM MOTOR VEHICLES,2102426,12200 BLOCK CENTRAL AVE,Chino Police,3/20/2021 12:25,3/20/2021,March,Saturday,12:25,12 PM,PM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102385,12200 BLOCK CENTRAL AVE,Chino Police,3/19/2021 8:29,3/19/2021,March,Friday, 8:29,08 AM,AM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
